subset	ensembl_gene_id
a	ENSMUSG00000036046
a	ENSMUSG00000021327
a	ENSMUSG00000023805
a	ENSMUSG00000021219
a	ENSMUSG00000014813
a	ENSMUSG00000030757
a	ENSMUSG00000029086
a	ENSMUSG00000023041
a	ENSMUSG00000072437
a	ENSMUSG00000034813
a	ENSMUSG00000045994
a	ENSMUSG00000020610
a	ENSMUSG00000023010
a	ENSMUSG00000061603
a	ENSMUSG00000071379
a	ENSMUSG00000040188
a	ENSMUSG00000039543
a	ENSMUSG00000053693
a	ENSMUSG00000027940
a	ENSMUSG00000037234
a	ENSMUSG00000037541
a	ENSMUSG00000000120
a	ENSMUSG00000022540
a	ENSMUSG00000019996
a	ENSMUSG00000044712
a	ENSMUSG00000028639
a	ENSMUSG00000024978
a	ENSMUSG00000020048
a	ENSMUSG00000010608
a	ENSMUSG00000056917
a	ENSMUSG00000000751
a	ENSMUSG00000037492
a	ENSMUSG00000029910
a	ENSMUSG00000034121
a	ENSMUSG00000043336
a	ENSMUSG00000048108
a	ENSMUSG00000060098
a	ENSMUSG00000005514
a	ENSMUSG00000026565
a	ENSMUSG00000028246
a	ENSMUSG00000020121
a	ENSMUSG00000056458
a	ENSMUSG00000025893
a	ENSMUSG00000032076
a	ENSMUSG00000040760
a	ENSMUSG00000022474
a	ENSMUSG00000082676
a	ENSMUSG00000030279
a	ENSMUSG00000035578
a	ENSMUSG00000054423
a	ENSMUSG00000071636
a	ENSMUSG00000028214
a	ENSMUSG00000078851
a	ENSMUSG00000038773
a	ENSMUSG00000032840
a	ENSMUSG00000110685
a	ENSMUSG00000031488
a	ENSMUSG00000038805
a	ENSMUSG00000066798
a	ENSMUSG00000067149
a	ENSMUSG00000059742
a	ENSMUSG00000001995
a	ENSMUSG00000029038
a	ENSMUSG00000019122
a	ENSMUSG00000022957
a	ENSMUSG00000039630
a	ENSMUSG00000052562
a	ENSMUSG00000033705
a	ENSMUSG00000027615
a	ENSMUSG00000061882
a	ENSMUSG00000028995
a	ENSMUSG00000007279
a	ENSMUSG00000068551
a	ENSMUSG00000053963
a	ENSMUSG00000024430
a	ENSMUSG00000029283
a	ENSMUSG00000006567
a	ENSMUSG00000039913
a	ENSMUSG00000032034
a	ENSMUSG00000044700
a	ENSMUSG00000027475
a	ENSMUSG00000038011
a	ENSMUSG00000041653
a	ENSMUSG00000024276
a	ENSMUSG00000020362
a	ENSMUSG00000029313
a	ENSMUSG00000032739
a	ENSMUSG00000022911
a	ENSMUSG00000044201
a	ENSMUSG00000033768
a	ENSMUSG00000034427
a	ENSMUSG00000028820
a	ENSMUSG00000018486
a	ENSMUSG00000062794
a	ENSMUSG00000053414
a	ENSMUSG00000017561
a	ENSMUSG00000022949
a	ENSMUSG00000025608
a	ENSMUSG00000015829
a	ENSMUSG00000010476
a	ENSMUSG00000068742
a	ENSMUSG00000030000
a	ENSMUSG00000061322
a	ENSMUSG00000022212
a	ENSMUSG00000032262
a	ENSMUSG00000029123
a	ENSMUSG00000028524
a	ENSMUSG00000042121
a	ENSMUSG00000023852
a	ENSMUSG00000002346
a	ENSMUSG00000032289
a	ENSMUSG00000049690
a	ENSMUSG00000033717
a	ENSMUSG00000059851
a	ENSMUSG00000021109
a	ENSMUSG00000038457
a	ENSMUSG00000073158
a	ENSMUSG00000026407
a	ENSMUSG00000024298
a	ENSMUSG00000039347
a	ENSMUSG00000031139
a	ENSMUSG00000030380
a	ENSMUSG00000034040
a	ENSMUSG00000042570
a	ENSMUSG00000026491
a	ENSMUSG00000054459
a	ENSMUSG00000020451
a	ENSMUSG00000022092
a	ENSMUSG00000026773
a	ENSMUSG00000054134
a	ENSMUSG00000020926
a	ENSMUSG00000052551
a	ENSMUSG00000032030
a	ENSMUSG00000040478
a	ENSMUSG00000052557
a	ENSMUSG00000037344
a	ENSMUSG00000038762
a	ENSMUSG00000042763
a	ENSMUSG00000024242
a	ENSMUSG00000031645
a	ENSMUSG00000036026
a	ENSMUSG00000037818
a	ENSMUSG00000096808
a	ENSMUSG00000040938
a	ENSMUSG00000020140
a	ENSMUSG00000110170
a	ENSMUSG00000034333
a	ENSMUSG00000110444
a	ENSMUSG00000004668
a	ENSMUSG00000020917
a	ENSMUSG00000033105
a	ENSMUSG00000046994
a	ENSMUSG00000045532
a	ENSMUSG00000048148
a	ENSMUSG00000041992
a	ENSMUSG00000032715
a	ENSMUSG00000058392
a	ENSMUSG00000003184
a	ENSMUSG00000025645
a	ENSMUSG00000039671
a	ENSMUSG00000057329
a	ENSMUSG00000029992
a	ENSMUSG00000042320
a	ENSMUSG00000014846
a	ENSMUSG00000029862
a	ENSMUSG00000003660
a	ENSMUSG00000050545
a	ENSMUSG00000021604
a	ENSMUSG00000048349
a	ENSMUSG00000037110
a	ENSMUSG00000061740
a	ENSMUSG00000000628
a	ENSMUSG00000025400
a	ENSMUSG00000026670
a	ENSMUSG00000030337
a	ENSMUSG00000034867
a	ENSMUSG00000023886
a	ENSMUSG00000071454
a	ENSMUSG00000036698
a	ENSMUSG00000032601
a	ENSMUSG00000019699
a	ENSMUSG00000041147
a	ENSMUSG00000021335
a	ENSMUSG00000021884
a	ENSMUSG00000009470
a	ENSMUSG00000056579
a	ENSMUSG00000020782
a	ENSMUSG00000036928
a	ENSMUSG00000020982
a	ENSMUSG00000082090
a	ENSMUSG00000039375
a	ENSMUSG00000027381
a	ENSMUSG00000059729
a	ENSMUSG00000109764
a	ENSMUSG00000004364
a	ENSMUSG00000067578
a	ENSMUSG00000026315
a	ENSMUSG00000021239
a	ENSMUSG00000057666
a	ENSMUSG00000029505
a	ENSMUSG00000000131
a	ENSMUSG00000055531
a	ENSMUSG00000030760
a	ENSMUSG00000001773
a	ENSMUSG00000028826
a	ENSMUSG00000090100
a	ENSMUSG00000097929
a	ENSMUSG00000020704
a	ENSMUSG00000028926
a	ENSMUSG00000027014
a	ENSMUSG00000021608
a	ENSMUSG00000048832
a	ENSMUSG00000069911
a	ENSMUSG00000031442
a	ENSMUSG00000039057
a	ENSMUSG00000113146
a	ENSMUSG00000028438
a	ENSMUSG00000025064
a	ENSMUSG00000054793
a	ENSMUSG00000035649
a	ENSMUSG00000109378
a	ENSMUSG00000051056
a	ENSMUSG00000080893
a	ENSMUSG00000034783
a	ENSMUSG00000000948
a	ENSMUSG00000025938
a	ENSMUSG00000018604
a	ENSMUSG00000028525
a	ENSMUSG00000034107
a	ENSMUSG00000039046
a	ENSMUSG00000052912
a	ENSMUSG00000017314
a	ENSMUSG00000017548
a	ENSMUSG00000048988
a	ENSMUSG00000043822
a	ENSMUSG00000052632
a	ENSMUSG00000113889
a	ENSMUSG00000038145
a	ENSMUSG00000026596
a	ENSMUSG00000034912
a	ENSMUSG00000014075
a	ENSMUSG00000026527
a	ENSMUSG00000034342
a	ENSMUSG00000054808
a	ENSMUSG00000031828
a	ENSMUSG00000073940
